64 64
32 54 50 24 40 3 43 28 49 30 31 0 39 46 10 60 20 51 33 25 59 8 27 7 56 34 52 18 29 23 38 47 53 22 57 45 55 17 41 36 6 9 63 4 21 26 1 14 61 44 42 62 35 11 13 12 5 19 16 58 48 15 37 2
38 46 55 45 26 2 62 35 59 61 12 27 4 41 11 54 60 9 36 52 57 14 40 29 28 23 15 32 50 17 25 21 56 49 37 16 39 33 58 44 63 47 6 7 48 19 22 43 30 34 0 3 31 13 24 53 51 42 10 20 5 18 1 8
39 24 33 18 22 50 17 34 45 48 8 20 44 35 4 14 54 43 21 19 9 56 27 63 60 13 5 12 61 37 58 41 29 16 51 26 57 38 40 59 1 7 49 23 31 0 32 25 52 11 6 2 47 46 3 36 62 28 42 55 10 53 15 30
52 51 0 59 3 30 17 40 8 53 45 16 28 47 27 13 54 9 38 49 43 58 4 10 42 14 2 12 37 61 56 26 29 20 24 41 46 21 34 18 1 62 19 55 31 33 32 25 39 36 15 5 35 57 22 11 7 44 60 23 63 48 6 50
59 13 47 20 17 33 25 32 18 57 15 61 49 36 8 46 14 58 60 16 21 27 6 43 51 0 52 45 9 31 26 22 4 3 23 56 19 48 62 12 30 10 35 50 44 53 38 42 7 37 54 2 5 28 40 1 55 24 34 11 63 41 39 29
27 45 26 28 47 52 58 37 11 19 0 20 13 40 62 57 53 35 34 54 24 50 16 30 43 61 41 3 18 12 21 6 10 38 5 22 33 36 59 8 32 23 55 2 42 31 9 7 60 44 15 51 48 1 56 63 49 25 46 29 17 4 39 14
16 1 20 56 51 10 61 28 46 58 59 3 42 62 49 34 24 27 33 15 23 57 4 17 43 11 40 36 13 22 37 41 39 25 53 47 5 48 45 26 19 60 52 63 32 21 38 8 50 12 14 0 30 44 35 9 55 54 18 2 7 31 6 29
48 35 5 32 34 11 45 1 39 31 54 53 63 18 6 7 38 3 10 40 61 56 8 19 33 59 57 44 52 2 22 46 25 47 16 0 20 55 37 62 42 26 17 13 30 36 14 4 60 49 58 41 15 12 51 24 27 43 29 23 28 9 21 50
26 27 21 46 32 51 35 57 58 36 7 10 31 18 22 0 54 19 1 12 41 39 30 61 8 56 6 52 59 34 43 33 14 53 50 23 47 49 63 15 55 29 62 42 48 60 24 40 45 2 28 17 16 11 3 20 38 5 13 9 44 37 25 4
56 24 28 45 50 25 38 22 5 3 23 59 35 37 36 29 43 40 19 9 39 61 26 15 11 48 1 27 4 52 10 54 55 0 63 7 34 21 44 12 57 49 20 32 51 31 17 58 13 42 53 47 62 8 14 46 18 6 16 41 2 60 30 33
45 2 42 51 3 7 5 54 19 13 34 14 11 55 48 26 18 29 61 50 4 37 16 41 43 0 59 10 1 38 21 20 47 31 36 60 35 58 30 49 22 17 39 27 57 12 24 25 32 8 28 15 63 53 56 62 44 52 23 33 46 9 40 6
50 40 63 35 54 27 22 44 32 62 17 29 30 37 13 33 20 5 58 61 4 49 57 28 38 51 14 45 11 7 47 56 8 12 10 59 24 18 39 19 16 60 53 31 23 34 3 55 9 42 21 46 48 0 1 15 6 43 26 25 52 36 41 2
55 0 62 6 33 20 43 11 56 48 19 31 50 30 16 57 12 41 52 46 61 7 13 45 17 5 15 40 1 59 29 32 23 27 44 49 24 37 21 4 2 22 58 34 36 35 28 42 39 18 8 38 60 25 14 10 47 63 26 3 51 9 53 54
54 24 9 62 2 8 53 61 32 42 55 18 49 15 11 51 60 12 16 14 63 28 22 43 23 20 1 57 35 27 38 7 59 13 46 25 50 52 0 5 19 10 47 30 29 56 40 45 6 44 4 39 58 31 26 48 36 3 21 33 34 41 17 37
6 15 43 37 58 38 35 16 9 50 42 53 22 11 28 61 40 2 4 0 20 34 25 62 45 44 8 55 60 21 59 19 54 10 46 41 63 51 18 36 48 49 56 32 52 39 24 14 17 23 5 13 47 57 7 33 1 30 26 3 12 27 31 29
30 51 55 53 39 4 61 19 62 59 40 33 11 3 14 46 35 52 22 1 26 28 0 44 58 49 23 6 5 32 16 21 45 20 43 15 34 7 2 24 12 42 60 9 10 17 56 13 63 48 38 41 47 29 37 8 18 31 57 25 54 50 27 36
20 53 8 41 49 42 39 10 32 38 21 45 30 12 13 33 50 28 47 43 23 54 59 5 62 31 15 29 1 16 58 24 63 37 44 57 56 18 22 60 7 19 40 51 4 0 6 55 46 27 17 9 36 34 11 14 3 61 26 52 25 48 35 2
13 50 49 11 15 53 63 12 33 44 60 0 62 48 39 20 10 2 29 27 4 7 59 54 19 45 18 41 28 58 46 1 34 42 35 32 3 25 31 14 38 23 5 6 26 43 21 40 36 16 47 52 61 55 24 8 22 57 9 51 17 56 30 37
