128 32
7 14 1 8 11 2 13 4 31 22 25 16 19 26 21 28 23 30 17 24 27 18 29 20 15 6 9 0 3 10 5 12
27 20 1 14 15 0 21 26 19 28 9 6 7 8 29 18 11 4 17 30 31 16 5 10 3 12 25 22 23 24 13 2
27 18 21 28 15 6 1 8 3 10 13 4 23 30 25 16 11 2 5 12 31 22 17 24 19 26 29 20 7 14 9 0
25 14 27 12 29 10 31 8 17 6 19 4 21 2 23 0 9 30 11 28 13 26 15 24 1 22 3 20 5 18 7 16
6 1 12 11 26 29 16 23 30 25 20 19 2 5 8 15 22 17 28 27 10 13 0 7 14 9 4 3 18 21 24 31
27 12 25 14 31 8 29 10 19 4 17 6 23 0 21 2 11 28 9 30 15 24 13 26 3 20 1 22 7 16 5 18
0 7 26 29 20 19 14 9 24 31 2 5 12 11 22 17 16 23 10 13 4 3 30 25 8 15 18 21 28 27 6 1
1 10 31 20 21 30 11 0 25 18 7 12 13 6 19 24 17 26 15 4 5 14 27 16 9 2 23 28 29 22 3 8
10 3 12 5 6 15 0 9 18 27 20 29 30 23 24 17 26 19 28 21 22 31 16 25 2 11 4 13 14 7 8 1
11 0 5 14 31 20 17 26 3 8 13 6 23 28 25 18 27 16 21 30 15 4 1 10 19 24 29 22 7 12 9 2
9 14 23 16 5 2 27 28 1 6 31 24 13 10 19 20 25 30 7 0 21 18 11 12 17 22 15 8 29 26 3 4
3 14 29 16 15 2 17 28 27 22 5 8 23 26 9 4 19 30 13 0 31 18 1 12 11 6 21 24 7 10 25 20
30 19 20 25 26 23 16 29 22 27 28 17 18 31 24 21 14 3 4 9 10 7 0 13 6 11 12 1 2 15 8 5
12 25 6 19 24 13 18 7 4 17 14 27 16 5 26 15 28 9 22 3 8 29 2 23 20 1 30 11 0 21 10 31
30 15 16 1 18 3 28 13 22 7 24 9 26 11 20 5 14 31 0 17 2 19 12 29 6 23 8 25 10 27 4 21
11 20 17 14 31 0 5 26 3 28 25 6 23 8 13 18 27 4 1 30 15 16 21 10 19 12 9 22 7 24 29 2
